                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.4892,                0.93472,                 1.1281,                 0.7069,                0.65138,                0.71488,                0.39048,                 1.5793,                 1.0388,                 1.1406,             0.00039074,             0.00039074,             0.00039074
                     61,                 1.5179,                0.95322,                 1.1349,                0.72192,                0.61774,                0.69794,                0.37882,                 1.5884,                 1.0721,                  1.147,             0.00036874,             0.00036874,             0.00036874
                     62,                 1.4837,                0.93955,                 1.1255,                0.73617,                0.64235,                0.72726,                0.39281,                 1.5764,                 1.0338,                 1.1418,             0.00034674,             0.00034674,             0.00034674
                     63,                 1.4795,                0.92822,                 1.1233,                0.71935,                0.65176,                0.73315,                0.39462,                 1.5886,                  1.033,                 1.1494,             0.00032473,             0.00032473,             0.00032473
                     64,                  1.475,                0.92167,                 1.1254,                0.81011,                0.59742,                0.73087,                0.39684,                  1.574,                 1.0266,                 1.1394,             0.00030273,             0.00030273,             0.00030273
                     65,                 1.4729,                0.92728,                 1.1204,                0.74447,                0.63764,                0.71991,                0.39383,                 1.5981,                 1.0509,                 1.1437,             0.00028072,             0.00028072,             0.00028072
                     66,                 1.4569,                0.92686,                  1.112,                0.69687,                0.68409,                0.72548,                0.39375,                 1.5772,                 1.0229,                 1.1379,             0.00025872,             0.00025872,             0.00025872
                     67,                  1.454,                0.90821,                 1.1149,                0.72974,                0.65339,                0.72476,                0.38871,                 1.5724,                 1.0273,                  1.134,             0.00023671,             0.00023671,             0.00023671
                     68,                 1.4644,                0.90503,                  1.112,                0.71634,                0.65543,                0.71844,                0.39257,                  1.573,                 1.0326,                 1.1377,             0.00021471,             0.00021471,             0.00021471
                     69,                 1.4281,                0.89731,                 1.1102,                0.76141,                0.64119,                0.73742,                0.40201,                 1.5621,                 1.0108,                 1.1324,             0.00019271,             0.00019271,             0.00019271
                     70,                 1.4433,                0.89475,                 1.1087,                0.75827,                0.62693,                0.73546,                0.40277,                 1.5564,                  1.004,                 1.1267,              0.0001707,              0.0001707,              0.0001707
                     71,                  1.447,                0.89208,                 1.1102,                0.76983,                0.63524,                 0.7334,                0.40484,                 1.5513,                  1.021,                 1.1267,              0.0001487,              0.0001487,              0.0001487
                     72,                 1.4402,                0.89205,                 1.1101,                0.76925,                0.63997,                0.74329,                0.41145,                 1.5419,                0.99606,                 1.1247,             0.00012669,             0.00012669,             0.00012669
                     73,                 1.4438,                0.90146,                 1.1108,                 0.7679,                0.65157,                0.73423,                0.40418,                 1.5549,                 1.0113,                 1.1301,             0.00010469,             0.00010469,             0.00010469
                     74,                 1.4341,                 0.8863,                 1.1021,                0.75132,                0.65423,                0.73695,                0.40605,                 1.5532,                 1.0069,                 1.1258,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     75,                 1.4241,                 0.8776,                 1.0949,                0.75086,                0.65718,                0.74455,                0.41282,                 1.5424,                0.99563,                 1.1249,             6.0679e-05,             6.0679e-05,             6.0679e-05
